,name,query,url,volume,domainContext
0,Happy New Year,Happy+New+Year,search?q=%22Happy+New+Year%22,4940000,Holidays
1,#HappyBirthdayTaehyung,%23HappyBirthdayTaehyung,search?q=%23HappyBirthdayTaehyung,660000,Korean music
2,South Africa,South+Africa,search?q=%22South+Africa%22,304000,
3,Democrats,Democrats,search?q=Democrats,271000,Politics
4,Constitution,Constitution,search?q=Constitution,164000,Politics
5,Secretary of State,Secretary+of+State,search?q=%22Secretary+of+State%22,147000,Politics
6,Slavery,Slavery,search?q=Slavery,105000,
7,Civil War,Civil+War,search?q=%22Civil+War%22,96199,Politics
8,14th Amendment,14th+Amendment,search?q=%2214th+Amendment%22,87199,Politics
9,Shenna Bellows,Shenna+Bellows,search?q=%22Shenna+Bellows%22,83000,Politics
10,Nikki Haley,Nikki+Haley,search?q=%22Nikki+Haley%22,79199,Politics
11,Gypsy,Gypsy,search?q=Gypsy,76800,
12,DeWine,DeWine,search?q=DeWine,71199,Politics
13,Lincoln,Lincoln,search?q=Lincoln,44200,Automotive
14,Chauvin,Chauvin,search?q=Chauvin,41000,
15,Celtics,Celtics,search?q=Celtics,39200,
16,George Floyd,George+Floyd,search?q=%22George+Floyd%22,36599,
17,Pop Tart,Pop+Tart,search?q=%22Pop+Tart%22,35000,
18,Friday of 2023,Friday+of+2023,search?q=%22Friday+of+2023%22,29600,
19,Pistons,Pistons,search?q=Pistons,29400,NBA
20,Good Saturday,Good+Saturday,search?q=%22Good+Saturday%22,18400,
21,New Orleans,New+Orleans,search?q=%22New+Orleans%22,14000,
22,Hamlin,Hamlin,search?q=Hamlin,13600,NFL
23,Trina,Trina,search?q=Trina,12000,
24,Iowa State,Iowa+State,search?q=%22Iowa+State%22,11800,
25,Giolito,Giolito,search?q=Giolito,8948,
26,Broja,Broja,search?q=Broja,7235,Soccer
27,WE LOVE YOU NICKI,WE+LOVE+YOU+NICKI,search?q=%22WE+LOVE+YOU+NICKI%22,6532,
28,Rutgers,Rutgers,search?q=Rutgers,6502,Sports
29,McCord,McCord,search?q=McCord,6493,Sports
30,Saturday of 2023,Saturday+of+2023,search?q=%22Saturday+of+2023%22,6088,
31,Dabo,Dabo,search?q=Dabo,5929,
32,#Caturday,%23Caturday,search?q=%23Caturday,5047,
33,James Garner,James+Garner,search?q=%22James+Garner%22,4513,
34,#SaturdayMorning,%23SaturdayMorning,search?q=%23SaturdayMorning,3867,Only on X
35,Stoops,Stoops,search?q=Stoops,3367,
36,Chris Jericho,Chris+Jericho,search?q=%22Chris+Jericho%22,3268,All Elite Wrestling
37,Brady Cook,Brady+Cook,search?q=%22Brady+Cook%22,2562,
38,#MIZvsOSU,%23MIZvsOSU,search?q=%23MIZvsOSU,1699,Sports
39,devin leary,devin+leary,search?q=%22devin+leary%22,1133,
40,JACK SAWYER,JACK+SAWYER,search?q=%22JACK+SAWYER%22,1072,
41,Parker Fleming,Parker+Fleming,search?q=%22Parker+Fleming%22,1055,
42,Kylie Rae,Kylie+Rae,search?q=%22Kylie+Rae%22,1000,Wrestling
43,Flacco,Flacco,search?q=Flacco,1000,NFL
44,Russ,Russ,search?q=Russ,1000,Sports
45,Clemson,Clemson,search?q=Clemson,1000,Clemson University
46,#RaisingKanan,%23RaisingKanan,search?q=%23RaisingKanan,1000,
47,Cole Palmer,Cole+Palmer,search?q=%22Cole+Palmer%22,1000,UEFA Champions League
48,Mizzou,Mizzou,search?q=Mizzou,1000,Sports
49,Ohio State,Ohio+State,search?q=%22Ohio+State%22,1000,Sports
