,name,query,url,volume,domainContext
0,Christmas,Christmas,search?q=Christmas,2560000,
1,#XRC20,%23XRC20,search?q=%23XRC20,646000,Business and finance
2,Happy New Year,Happy+New+Year,search?q=%22Happy+New+Year%22,160000,Holidays
3,ariana,ariana,search?q=ariana,129000,Pop
4,Delta,Delta,search?q=Delta,87199,Travel
5,Umar,Umar,search?q=Umar,73800,
6,Gorriti,Gorriti,search?q=Gorriti,50000,
7,Luka,Luka,search?q=Luka,48200,NBA
8,Melania,Melania,search?q=Melania,44800,Politics
9,Michigan Supreme Court,Michigan+Supreme+Court,search?q=%22Michigan+Supreme+Court%22,43000,Politics
10,Denver,Denver,search?q=Denver,42599,NFL
11,Lamar,Lamar,search?q=Lamar,37400,NFL
12,FTCU,FTCU,search?q=FTCU,33200,
13,Eminem,Eminem,search?q=Eminem,31000,
14,Gaston Glock,Gaston+Glock,search?q=%22Gaston+Glock%22,27200,
15,Vanessa Bryant,Vanessa+Bryant,search?q=%22Vanessa+Bryant%22,26799,
16,Barron,Barron,search?q=Barron,25600,Politics
17,Pistons,Pistons,search?q=Pistons,24000,NBA
18,Kwanzaa,Kwanzaa,search?q=Kwanzaa,23400,
19,Tulane,Tulane,search?q=Tulane,19400,Sports
20,Smothers Brothers,Smothers+Brothers,search?q=%22Smothers+Brothers%22,18400,
21,Tom Smothers,Tom+Smothers,search?q=%22Tom+Smothers%22,18400,
22,The Color Purple,The+Color+Purple,search?q=%22The+Color+Purple%22,14399,Movies & TV
23,Stidham,Stidham,search?q=Stidham,14000,Sports
24,Good Thursday,Good+Thursday,search?q=%22Good+Thursday%22,13800,
25,Jaire,Jaire,search?q=Jaire,13399,
26,Miller Moss,Miller+Moss,search?q=%22Miller+Moss%22,11800,Sports
27,Selen,Selen,search?q=Selen,11200,
28,Pink Friday Girls,Pink+Friday+Girls,search?q=%22Pink+Friday+Girls%22,9427,
29,Jesus,Jesus,search?q=Jesus,7895,
30,Tasha K,Tasha+K,search?q=%22Tasha+K%22,7527,Entertainment
31,Canada Dry,Canada+Dry,search?q=%22Canada+Dry%22,6773,Food
32,Herb Kohl,Herb+Kohl,search?q=%22Herb+Kohl%22,4977,
33,moon app,moon+app,search?q=%22moon+app%22,4757,
34,Schweppes,Schweppes,search?q=Schweppes,4077,Food
35,Chandler Parsons,Chandler+Parsons,search?q=%22Chandler+Parsons%22,2997,NBA
36,$SCOOBY,%24SCOOBY,search?q=%24SCOOBY,2416,
37,Plummer,Plummer,search?q=Plummer,2380,Sports
38,Dan Klecko,Dan+Klecko,search?q=%22Dan+Klecko%22,2164,
39,Gundy,Gundy,search?q=Gundy,2125,Sports
40,#HolidayBowl,%23HolidayBowl,search?q=%23HolidayBowl,1834,Sports
41,#DukesMayoBowl,%23DukesMayoBowl,search?q=%23DukesMayoBowl,1612,
42,Seagrams,Seagrams,search?q=Seagrams,1512,
43,Civil War,Civil+War,search?q=%22Civil+War%22,1000,Politics
44,Ollie Gordon,Ollie+Gordon,search?q=%22Ollie+Gordon%22,1000,Sports
45,Grant Hill,Grant+Hill,search?q=%22Grant+Hill%22,1000,Sports
46,#AEWDynamite,%23AEWDynamite,search?q=%23AEWDynamite,1000,Wrestling
47,Ravens,Ravens,search?q=Ravens,1000,NFL
48,Hester,Hester,search?q=Hester,1000,Sports
49,Russ,Russ,search?q=Russ,1000,NFL
